"","text"
"184","@malarea @gopayindonesia @mrshananto Yang penting kenyang, kak. *sungkem ke @mrshananto*"
"185","Min @gopayindonesia , kerjasama sama Shop &amp; Drive dong... :)"
"186","Pengen @gopayindonesia juga bikin kerjasama dengan 1nd0maret &amp; Pert4m1n4"
"187","Menikmati cashback @gopayindonesia @ ayam goreng borobudur sunter https://t.co/3ZBEmiQ3k7"
"188","@gopayindonesia D. (plus ada cash back nya)"
"189","@zunnunferdia @infomalang Pake @gopayindonesia"
"190","@gopayindonesia tolong dong ini gimana ya, saya dari tadi cona upgrade gopay saya biar bisa transfer ke org lain tapi reject mulu. Udh foto sejelas mungkin"
"191","@gopayindonesia Okeee thx"
"192","@PakAjiMumpung @alfamart @gopayindonesia @Indomaret @ovo_id Ovo emang banyak bgt promo dan cashback cocok lah ya sama rakyat aji mumpung qaya qita wqwq  #2019AjiMumpung"
"193","@PakAjiMumpung @alfamart @gopayindonesia @Indomaret @ovo_id Waduh betul itu biar kaya gr*ab dan go*ek"
"194","@alfamart ! Promo JSM dan @gopayindonesia - nya. mantuuuul <U+0001F60D> #2019AjiMumpung https://t.co/QdEW5dvaiy"
"195","@gojekindonesia min kemarin tgl 10 Februari 2019 aku beli brg di nature republic pakai gopay kok gak dapat cashbacknya ya? padahal ketentuannya kan per hari/per rekan usaha /per pengguna.. gimana ini min? Tag @gopayindonesia"
"196","@gopayindonesia mohon fast respon nya via dm thx"
"197","@PakAjiMumpung @alfamart @Indomaret @alfamart kalo lagi promo cashback gede dari @gopayindonesia sisanya lebih suka di @Indomaret poin dari Mypoin lebih gede, banyak pilihan untuk ditukar, deket rumah indomaret lengkap ada jual sosis, kopi donat dll. #2019AjiMumpung"
"198","@PakAjiMumpung @alfamart @gopayindonesia @Indomaret @ovo_id ah tp saya tetap tim apapun pake Gopay pak, jadi alfamart aja. kecuali indomart lagi diskon beli 2 gratis 1. #2019AjiMumpung"
"199","@gopayindonesia ini kenapa ya min aku pake gopulsa buat beli paket internet indosat kok gagal terusss dari td. https://t.co/PTScS2q66l"
"200","hi @gopayindonesia, gopay nyediakan service API ngga ya? Atau syarat menyambungkan pembayaran ke aplikasi kita gimana ya? ada link yang bisa saya baca? Untuk biaya juga bagaimana?"
"201","Saya pesan bakmi tan di gofood, 
Di apps harganya tertulis 24ribu, tapi di harga aslinya 42 ribu. Ini kok beda hampir 2x lipat?? @gojekindonesia @gopayindonesia https://t.co/wcB0CSB1lV"
"202","@PakAjiMumpung @alfamart @gopayindonesia @Indomaret @ovo_id Hahaha, saingan ketat bung, Tim Cashback pokoknya dimanapun, mau pake aplikasi apapun penting cashback pak #2019AjiMumpung"
"203","@PakAjiMumpung @alfamart @gopayindonesia @Indomaret @ovo_id Iya banget nih biar irit terus makin kaya dah #2019AjiMumpung"
"204","Selama seminggu berhasil irit karna kantin kantor bisa bayar pake @gopayindonesia. Tadi gara gara temen ngajak lunch ke lotte, jadi agak amsyong hari ini. <U+0001F625>"
"205","@PakAjiMumpung @alfamart @gopayindonesia @Indomaret @ovo_id Nah ini nih pak ..yang ditunggu"" masyarakat tukang belanja #2019AjiMumpung"
"206","@PakAjiMumpung @alfamart @gopayindonesia @Indomaret @ovo_id Cakep banget pak solusi buat promonyaaa. Langsung cuss @Indomaret!! Emanglah bapak ini simbol #2019AjiMumpung"
"207","@PakAjiMumpung @alfamart @gopayindonesia @Indomaret @ovo_id Nah...ini dia yg aq rasakan...@Indomaret sama @ovo_id itu seperti kurang intim ya... #2019AjiMumpung"
"208","@PakAjiMumpung @alfamart @gopayindonesia @Indomaret @ovo_id indomaret ada aplikasi sendiri pak namanya i-saku, banyak promonya juga kalo bayarnya pakai apk itu wkw"
"209","@PakAjiMumpung @alfamart @gopayindonesia @Indomaret @ovo_id Rakyat aji mumpung akan sangat terbantu jika indomaret mau mendengarkan saran kami"
"210","@PakAjiMumpung @alfamart @gopayindonesia @Indomaret @ovo_id Betolllll Pak @PakAjiMumpung, indomaret pake ovo gpp, hrs ada cashback nya juga tapiii #2019AjiMumpung"
"211","@PakAjiMumpung @alfamart @gopayindonesia @Indomaret @ovo_id TAMBAHIN CASHBACKNYA PAK @PakAjiMumpung agar supaya rakyat aji mumpung semakin aji mumpung #2019AjiMumpung"
"212","@gopayindonesia halo min. Saya mau bertanya bagaimana prosedur mengundang pembicara dari pihak gopayindonesia untuk menjadi salah satu pembicara di event seminar? Makasih sebelumnya."
"213","@PakAjiMumpung @alfamart @gopayindonesia @Indomaret @ovo_id mantep dah kadang promo dari @gopayindonesia kepake terus neh, tapi @ovo_id jg kadang ngebantu bgt pak aji #2019AjiMumpung"
"214","@PakAjiMumpung @alfamart @gopayindonesia @Indomaret @ovo_id Saya setujuuuuuu paaaaaak <U+0001F60D> udah gitu harga promonya yang lama jangan cuma seminggu #2019AjiMumpung"
"215","Dear .@gopayindonesia .@gojekindonesia saya abis cancel goride karena driver nya kejauhan, dan payment saya pake gopay, tapi saldo gopay saya berkurang dan ga balik lagi, mohon di tindaklanjuti terimakasih https://t.co/neqGy6jQLq"
"216","@PakAjiMumpung @alfamart @gopayindonesia @Indomaret @ovo_id Indomaret itu juga ada pake sakuku kalo ga salah namanya.. cuma kurang booming aja pak, kalah beken sama gopay <U+0001F60C> #2019AjiMumpung"
"217","@PakAjiMumpung @alfamart @gopayindonesia @Indomaret @ovo_id Sarannya bener bangettt, kadang kelupaan gak bawa duit dan cuma ada saldo ovo tapi gabisa bayar gara2 tempatnya gak menyediakan scan barcode ovo<U+0001F62D>  #2019AjiMumpung"
"218","@PakAjiMumpung @alfamart @gopayindonesia @Indomaret @ovo_id Idenya bagus pak biar rakyat makin sejahtera ye ga wkwk #2019AjiMumpung"
"219","@gopayindonesia 
Halo Admin.......
Saya mau komplain......"
"220","saya pake @gopayindonesia di @ayamnelongso cabang dharmawangsa surabaya kok sudah gak bisa ya? padahal di apps gojek masih ada. mengecewakan! untung masih bawa uang"
"221","@gopayindonesia @ayamnelongso saya tidak bisa pakai gopay tadi. alasan di kasirnya gopay sudah tidak bisa digunakan per hari kemarin. tolong bisa dikroscek sendiri ke outlet di dharmawangsa agar tidak ada pelanggan yg kecewa selain saya"
"222","@gopayindonesia Nama usaha : Bakso Mahkota, Gading Serpong"
"223","@gopayindonesia Telp : 0811-168-7128
Email : rosco.wholesale@gmail.com
nancy.soehartono@gmail.com
Nomer laporan : 05544189"
"224","@gopayindonesia , mohon info bagaimana cara ikut promo cashback ? Resto kami sudah tergabung sbg partner Go-pay. Sy sudah coba email ke rekanusaha, tp belum ada tanggapan. Sy coba telpon ke call center, tp selalu nada sibuk. Please help.."
"225","Tips 3:
Hadiahin #BudeKasmaran saldo GOPAY @gopayindonesia @PakAjiMumpung @BudeSumiyati"
"226","@cekeremez @gopayindonesia Hallo GMania. Bakmi GM dapat melakukan pesanan dengan pembayaran Go Pay melalui Go Food ataupun melakukan transaksi langsung di store menggunakan Go Pay <U+0001F60A>"
"227","@cekeremez @gopayindonesia Hai GMania, kami menerima pembayaran dengan Go Pay ya <U+0001F60A>"
"228","@ruangguru @gopayindonesia lagi lagi mimin berulah <U+2728><U+2728><U+2728><U+2728><U+2728>"
"229","@gopayindonesia @COKELATband nga mau respon ni biar jd twitwor? lol smh"
"230","@gopayindonesia Halo selamat siang, Saya ingin menanyakan perihal paylater di aplikasi gojek. Saya sudah upgrade GO-PAY dan sudah di approve, tapi paylater belum bisa digunakan. Tidak ada menu icon ""PAYLATER"" pada menu GO-PAY.
Terima kasih."
"231","@gojekindonesia @gopayindonesia @HaloBCA mohon bantuan ini dari siapa yg blm update nomor terbaru saya, setiap mau isi ulang kok harus verifikasi lagi. Dan setiap verifikasi kan ada biaya sms. https://t.co/Qd4D3SqzS2"
"232","@ian2708 @gopayindonesia 2) Mandiri dan BCA, dsb.
Agar admin dapat melakukan pengeckan mohon di informasikan nomor Id Pelanggan melalui DM.
Tks.- Yulia"
"233","@ian2708 @gopayindonesia 1) Selamat siang Bapak Ian Dewanto. Mohon maaf atas kendala yang dialami, untuk pembayaran dapat dilakukan melalui loket mitra PLN, antara lain: Kantor Pos atau ATM bank yang telah bekerja sama dengan PLN seperti BRI,
 -Yulia"
"234","@gopayindonesia saya sudah kirim email bukti screenshot mutasi rekening saya. tapi belum mendapat balasan. mohon dicek yah min. dari email metha.aurum77@gmail.com"
"235","@gopayindonesia @HaloBCA selamat siang
saya sudah tarik tunai saldo gopay ke rekening BCA saya sejak 7 februari 2019. Status withdraw di aplikasi gojek sudah berhasil, namun saldo belum masuk ke rekening saya. Di mutasi rekening saya pun tidak ada. mohon bantuannya. terimakasih"
"236","Kok mau bayar tagihan @pln_123 via @gopayindonesia gak bisa yah? Padahal udah masukin 12 digit ID pelanggan nya :("
"237","@gojekindonesia @gopayindonesia saya pesen gocar dan driver langsung ganti status on the way with me tapi saya masi nungguin. pas di telfon katanya akunnya dibajak. ini gimana ya? gopay saya kepotong https://t.co/EJJ49jnRty"
"238","@PakAjiMumpung Paling sering ada casback itu pake @gopayindonesia Pak, tp kalo mau tau info2 promoan lainnya bisa cek di @Giladiskon pak, dijaminnn banyakk info promoannya<U+0001F602> #2019AjiMumpung"
"239","@PakAjiMumpung Promo cashback 20% @HokBen pak, max 20rb/transaksi berlaku smpe 31 Maret 2019. Jgn lupa promoannya byar pakai @gopayindonesia ya pak<U+0001F605> #2019AjiMumpung"
"240","CEO @gopayindonesia dan @ovo_id bergumam.
""Tidak semudah itu fergusoooooo! Lihat saja 5 tahun kedepan, kalian semua akan auto-ingat kami ketika ingat uang"". https://t.co/FIB7loHxp4"
"241","@gopayindonesia Sudah. Nomor tiketnya: 06371678. Berapa lama saya harus tunggu supaya bisa dibalas?"
"242","@gopayindonesia mau tanya, ini akun gopay kalo mau transaksi / transfer ad tulisan belumberhasil terus ad gambar orang tenggelem sisa tangan doank. Kenapa ya? Gimana biar berhasil?"
"243","@gopayindonesia untuk pizza hut ada cashback gak ya?"
"244","@gopayindonesia @gojekindonesia kalo driver not found kok gopay terpotong?"
"245","@ojkindonesia Kok Caturnusa Paylater nya @traveloka sama @findayaindo Paylaternya Go-Food  @gopayindonesia by @gojekindonesia nggak ada ya? Mereka termasuk Fintech bukan sih?? <U+0001F62C><U+0001F62C><U+0001F62C> Kan ngasih loan buat bayar belakangan....<U+0001F917><U+0001F917><U+0001F917>"
"246","@findayaindo @gopayindonesia @gojekindonesia Yaahh Min....Go-Food doang sih masih bisa langsung bayar sih....kirain bisa buat tiket konser.....<U+0001F923><U+0001F648><U+0001F923><U+0001F648>"
"247","@PakAjiMumpung Sering2 pakai @gopayindonesia #2019AjiMumpung"
"248","@gopayindonesia bikin app-nya sendiri dong biar ga bingung ngelompokkinnya di transportasi atau payment"
"249","#valentinebukanbudayakita
Budaya kita adalah:
""Mau makan apa ya coba aku cek promo di Gopay...""

@gopayindonesia"
"250","@methaaurum @gopayindonesia Mhn maaf atas ketidaknyamanannya Ibu Metha, perihal kendala tsb kami sarankan Ibu Metha dpt konfirmasi langsung ke pihak Gojek karena BCA hanya sebagai penerima dana yg pasif. :) Tks ^Sisi"
"251","@gopayindonesia Kayaknya sih D. Kayaknya lho."
"252","Selamat siang @gopayindonesia tadi saya top up melalui mbanking BCA @HaloBCA transaksi berhasil dan saldo bank sudah terpotong tetapi saldo di gopay belum bertambah, tolong bantu di proses min"
"253","@gopayindonesia Selamat siang. Mau tanya, apakah chattime masih ada promo cash back? Terima kasih"
"254","@gopayindonesia min mau bayar indihome pake go bills kok ga bisa mulu ya?"
"255","@BakmiGM @gopayindonesia maksud saya bagi para driver online yang menerima pesanan dari customer  ke Bakmi GM, customer pesan lewat aplikasi, tapi driver tidak bisa membayarkan pesanan ke Bakmi GM pake gopay atau sistem pembayaran sejenis? harus pake tunai atau kartu debit? how it works? thanks"
"256","@BakmiGM kenapa pesanan online justru tidak bisa membayar menggunakan sistem pembayaran online i.e @gopayindonesia? ga terbalik ya? thx"
"257","@gopayindonesia Selamat malam, saya mau tanya apakah membayar perpanjangan SIM wil. Surabaya bisa menggunakan GoPay? Terima kasih"
"258","@gopayindonesia halo admin, saya withdraw saldo gopay dari hari sabtu sampai skrg kok blm masuk ke rek saya ya?"
"259","@gojekindonesia @gopayindonesia trip udah di cancel tapi saldo gopay ttp kepotong. https://t.co/0to0763wdO"
"260","Udah coba @TCASH_ID, @ovo_id, @gopayindonesia, @UANGKUID, @danawallet @yapinaja
Pengen nyoba @JeniusConnect 
Semuanya memudahkan dengan segala plus minusnya!"
"261","@arspy @gopayindonesia @gojekindonesia @SATLANTASGRESIK yoi mas, tadi ada pengumuman nya gitu tapi aku gak ngefoto hehe
semangat mas."
"262","@HaiHaf @arspy @gopayindonesia @gojekindonesia @SATLANTASGRESIK bayar pakai gopay maksudnya mas? kurang tau hehe"
"263","@arspy @gopayindonesia @gojekindonesia @SATLANTASGRESIK gak bisa mas, klo lewat masanya ngurus dari awal."
"264","@naima_hana @gopayindonesia @gojekindonesia ku juga baru tau mba, bayarnya pake gopay, bri, brizzi, t cash pokoknya gak terima tunai"
"265","terima kasih @gopayindonesia @gojekindonesia @SATLANTASGRESIK cashback 15k nya mayan buat makan siang wkwk https://t.co/SIgBDKbgsR"
"266","@arspy @gopayindonesia @gojekindonesia @SATLANTASGRESIK perpanjangan sim mas"
"267","LinkAja Tantang @ovo_id &amp; @gopayindonesia , Ini Penjelasan Resmi @KemenBUMN 
https://t.co/8GochOY3Pm"
"268","@gopayindonesia cashback Lotte Mart kok nggak nyampe2 ya udah lebih dari 1x24 jam nih"
"269","@gopayindonesia No more feedback after the follow up. Ck. https://t.co/Rr4R1WbtH0"
"270","Thanks @gopayindonesia  @gojekindonesia <U+263A> https://t.co/a7A0jFoRAO"
"271","@gopayindonesia  knp sy proses byr IndiHome ga bisa, setelah hub cs suruh gojek versi terbaru,  keluar dan masuk kembali ke akun,  dan udah dicoba dlm bbrp hari tetap ga bisa,  mhn info nya  tks"
"272","@gopayindonesia Saya ga bisa byr IndiHome,  keterangan nya  nomor yang anda masukkan tidak terlihat benar.  Silahkan coba lagi,     udah hub cs   udah keluar masuk akun kembali,  udah pastikan no benar krn bln lalu jg byr no tsb,  versi gojek dah terbaru,   knp ya"
"273","@gopayindonesia min, sekarang ngga bisa bayar Indiehome via gobills?
Saya masukan nomer pelanggan katanya salah"
"274","@csjd_id selamat pagi.. mohon infonya untuk refund saldo gopay saya yg cancel transaksi kemaren malem, berapa hari ya? @JDid @gopayindonesia"
"275","@ragilarawindaa @gopayindonesia @gojekindonesia baru tahu perpanjang sim bisa dapat cashback pakai gopay"
"276","Terungkap! Transaksi @gopayindonesia di 2018 Tembus Rp 87 T https://t.co/MGN7873u7T #fintech #mobilepayments #payments https://t.co/WS69yM85bL"
"277","@gopayindonesia permisi, info di web kok tdk kunjung diupdate. Sdh hampir pertengahan feb lho <U+0001F642> https://t.co/1pBwzB5CyW"
"278","Mendarat ditempat sunyi demi habiskan sisa @gopayindonesia"
"279","Hai @gopayindonesia besok masih ada promo cashback ga ya di McD?"
"280","@gopayindonesia gopay saya kepotong pdhl ga dipake apa2 mohon info"
"281","@ragilarawindaa @gopayindonesia @gojekindonesia @SATLANTASGRESIK mb nya mau tanya kalo perpanjang sim lewat 2 minggu masi bisa ga ya kena denda gitu?"
"282","@ragilarawindaa @gopayindonesia @gojekindonesia @SATLANTASGRESIK buat bayar apa mb?"
"283","@ragilarawindaa @gopayindonesia @gojekindonesia @SATLANTASGRESIK bkin baru ya :("
"284","@ragilarawindaa @arspy @gopayindonesia @gojekindonesia @SATLANTASGRESIK Perpanjangan pajak stnk bisa nggak ya"
"285","@gopayindonesia kalau di gopay struk pembayaran pln bisa di cetak tidak?"
"286","LinkAja hadir untuk meramaikan pertarungan bisnis dompet digital . GO-PAY @gopayindonesia dan @ovo_id berebutenjadi pemimpin pasar.
.
#sindoweekly #sindoweeklyupdate #news #otonomi #ekonomi #ekonomibisnis #internasional #infografik #kesehatan #nasional #inspirasi https://t.co/Fi9XKdFidO"
"287","@bimaagg @gopayindonesia Kamu alergi kerja kayaknya."
"288","@bimaagg @gopayindonesia Katanya sibuk."
"289","Apah promo @BurgerKing_ID ini berlaku jika menggunakan @gojekindonesia @gopayindonesia ? https://t.co/buOUxX0GHI"
"290","@ndrealexandra @gopayindonesia Iya, dan kepalaku sakit lg. Mau secepatnya pulang :("
"291","@ndrealexandra Lebih canggih kalau bisa pakai @gopayindonesia"
"292","Halo saya ada masalah dengan top up gopay boleh tolong cek dm? @gopayindonesia terima kasih"
"293","@gopayindonesia min hr ini belanja dialfamart hbs 250rb cashback cuman 5rb ya?"
"294","@gopayindonesia siang, saya kmrn kirim email ttg keinginan saya bergabung dengan go pay, tp saya ada kesulitan krn saya ada bbrp jenis usaha yg mungkin menurut saya berbeda perlakuannya. saya mohon info jika ada nomor marketing @gopayindonesia yg bisa dihub utk diskusi. Tks"
"295","@gopayindonesia Saya coba email saja, kalau telepon kemarin sudah, cuma belum berhasil tersambung sama marketingnya. Makasih ya"
"296","@gopayindonesia halo, ini kenapa aku belum dapat cashback ya. habis bayar mcd pakai gopay. ada keterangan cashback 20% tapi kok belum masuk ya.."
"297","@gopayindonesia @gojekindonesia kok saya ga bisa bayar indiehome pake gopay?"
"298","@gopayindonesia promo Alfamart yg adalagi kayak bulan kemaren apakah hanya cashback 10% saja di tiap hari nya ataukah khusus untuk Jumat Sabtu Minggu 30% seperti yg lalu?"
"299","@gopayindonesia untuk hari Jumat Sabtu dan Minggu apakah sama jg sekarang cuma 10% saja promo nya? Gak 30% kayak bulan lalu lagi?"
"300","@gopayindonesia min ada ngga cara buat nge cancel gopay yg lagi di proses withdraw? Lama banget soalnya"
"301","@gojekindonesia @gopayindonesia @MediaKonsumenID pertama kali bayar indihome ga bisa pake gobills, padahal udah sengaja topup gopay. Gimana ini? https://t.co/mOBAh2cDjN"
"302","Ah mungkin mereka baru deket, belom sampe jadian. Semoga dimudahkan ya @gopayindonesia @alfamart"
"303","@gopayindonesia min tolong dong transaksi ku yang ini doubel dan terpotong pulsa sedangkan voucher nya ga ku dapat, makasih min 2x https://t.co/MfEV06ZYnk"
"304","@marshasmara Yahh ngga bisa di retweet padahal mau mention @gopayindonesia wkwkwk"
"305","@CIMBNiaga &amp; @gojekindonesia saya tadi top up @gopayindonesia pakai GoMobile, sudah ikuti step yg diberikan kenapa tidak masuk dananya ke GoPay saya ya? Ini sudah yg kedua kalinya seperti ini."
"306","@gopayindonesia Masalah dr 2 januari gak ada penyeleseain...cuma gini doank https://t.co/n3YWJmEyUs"
"307","@gopayindonesia min ada maksimal nominal ga ya untuk top up dan untuk tarik saldo gopay ke rek bank?"
"308","@gopayindonesia hai selamat sore, saya ingin bertanya saya sudah cek di go-nearby, apakah burger king malang tdk ikut promo cashback pake gopay? thanks"
"309","@gopayindonesia hi, sudah 3 hari saldo top up saya tidak masuk, saya sudah email CS, diminta bukti sms dari bca klik one juga sudah saya lampirkan."
"310","@gojekindonesia @gopayindonesia halo,  tadi saya belanja di alfamart byar pakai gopay,  pertama bilang nya gagal,  yg kedua sukses tapi saya lihat di riwayat,  saya bayar 2 kali. https://t.co/UtFTQ5MM9B"
"311","@gopayindonesia halo,  tadi saya belanja di alfamart byar pakai gopay,  pertama bilang nya gagal,  yg kedua sukses tapi saya lihat di riwayat,  saya bayar 2 kali. https://t.co/atGvfSfmAA"
"312","Coba ngajuin ovo lagi karena ada sales masukin kode referal ehh di tolak lagi krn KYC gagal.. Rmang ngga cocok pake @ovo_id saya... Ya udah tetep di @gopayindonesia ajahlah"
"313","@gopayindonesia bisa jelas kan ke saya logikanya, kenapa bayar @PepperLunchID kalau take way tidak bisa?
@gojekindonesia"
"314","@gopayindonesia Mending Ke Alfa dpt cashback 10% blanja mayan <U+0001F601><U+0001F600>"
"315","Beli donat @KrispyKremeIndo  @CentralParkMall  promo beli 3 pcs edisi valentine free 3 pcs cinnamon Rp 36K bayar #pakaigopay @gopayindonesia cashback 20% <U+0001F60D> https://t.co/ukqzpcHc4G"
"316","@b4b4ng1ch4d @gopayindonesia @gojekindonesia Hai kak, saat ini PayLater baru tersedia untuk layanan GO-FOOD. Kami sangat senang menerima kritik dan saran dari kakak, karena dapat membantu kami dalam menjaga kualitas pelayanan kami. Tks^krn"
"317","apakah bisa dibantu untuk penggantian nomor pada akun gojek? @gojekindonesia @gopayindonesia"
"318","@miah_kunaepi @gopayindonesia hi kak.. itu belum di update ^_^ yang tepat sesuai dengan ketentuan di gopay ^_^ maaf yah atas ketidaknyamanannya ^_^"
"319","@miah_kunaepi @gopayindonesia @gojekindonesia hi kak.. minimum transaksinya 150ribu .. sedangkan transaksi kakak  sepertinya 56ribuan yah .. setau kami memang ada perubahan ^_^ maaf  membuat kakak tidak nyaman ^_^"
"320","@gopayindonesia @gojekindonesia promo yg membingungkan nan menyesatkan! ! desember ato februari yg bener ? https://t.co/4HE3wdUS9G"
"321","@ovo_id @gopayindonesia @gojekindonesia @GrabID test responnya siapa admin yg sigap"
"322","@gopayindonesia D aj deh"
"323","@gopayindonesia C. Soal macam apa ini? Mending jajan gopay yg ada cashback nya wkwkwkkw"
"324","Dear @gopayindonesia dimana nih yg lg promo cashback? https://t.co/Eo5dAZJAoe"
"325","@gopayindonesia D aja min, jajan pakai gopay <U+0001F601>"
"326","@gopayindonesia masih bingung jawab soalnya? <U+0001F914>

mending langganan ruangbelajar yuk! bisa bayar pakai GO-PAY lho, Squad~ https://t.co/x232lyUlwi"
"327","@gopayindonesia tolong di cek DM nyaa min."
"328","@gopayindonesia Done min, mohon feedback nya"
"329","@gopayindonesia selamat siang. Saya tempo hari sudah mengupgrade, tp sampai skg statusnya masih ""Uploading your documents"". Mohon bantuannya, trms"
"330","@gopayindonesia Cek email min"
"331","@gopayindonesia pagi min, saya hari Sabtu siang menggunakan voucher Alfamart 15rb yg didapat dari belanja minim 30k dpt voucher senilai 100k, kenapa sampai sekarang belom masuk cashbacknya ya?"
"332","Tantang @gopayindonesia &amp; @ovo_id , @linkaja Disuntik Modal Rp 1,5 T
https://t.co/GuHpSqzvIe"
"333","@gojekindonesia @gopayindonesia tiket 07206978 tolong dtanggapi SEGERA!"
"334","@gopayindonesia @gojekindonesia apa aturan pakai gopay ttg CB hingga 30K pas blanja d ramayana"
"335","@gopayindonesia siang min, saya ada toko offline mau ikut daftar gopay untuk pembayaran bisa?"
"336","@gopayindonesia  mohon di batalkan saja transaksinya..karna kelamaan https://t.co/eMtDmeI9Ms"
"337","@gopayindonesia @PakAjiMumpung Mohon baca dan balas dm sy ya min.."
"338","Saya mohon @gojekindonesia mengembalikan saldo @gopayindonesia atas keluhan #02599215.
Dari bulan November sampai Maret ga ada penyelesaian.
Cuma janji follow up terus kl tlp 1500304.
Terakhir tlp cuma suruh cek halaman My Voucher.
Jangan bodoh, pura2 ga tau voucher umurnya 15hr!"
"339","@Yosigh_ @ariefzf @gopayindonesia @gojekindonesia @GrabID Buat pulsa, buat belanja di tokped, buat makan juga bisa"
"340","Top up Go Pay bisa di mana saja?@gopayindonesia"
"341","@ariefzf @gopayindonesia @gojekindonesia @GrabID bukannya OVO cashbacknya kaleng² ya, masuknya ke point bingung mau dipake apa"
"342","@ariefzf @gopayindonesia @gojekindonesia @GrabID Kmren sama nyobain di tongji jg. Menurut keterangan sih 30% gak ada maksimalnya. Taunya cash point ovo baliknya 20.000 juga. Ndak ada 30% <U+0001F923>"
"343","@gopayindonesia @PakAjiMumpung Hai ko saya ga bisa pake promo ini di aplikasi saya ya?"
"344","Hai @gopayindonesia @gojekindonesia  

tumben kesbeknya gak kembar sama ovo, biasanya bikin bingung konsumen mau memilih mana diantara kalian. 

Maaf kali ini ku lebih memilih @GrabID <U+0001F62D>

(Tongtji teabar CSB Cirebon) https://t.co/nmcTEgocen"
"345","Mumpung udah gajian, top up saldo @gopayindonesia kamu supaya bisa belanja #PakaiGopay di Ramayana, gaes!

#KerenHakSegalaBangsa https://t.co/BSzPsBs9bQ"
"346","Wooohoooo! Tiga hari lagi kamu bisa belanja di Ramayana #PakaiGopay @gopayindonesia, lho! Tungguin kejutan spesialnya!

#KerenHakSegalaBangsa https://t.co/gfxiiQtVzv"
"347","@ajitprasetiyo_ @gopayindonesia @SeasonCity Mimin akan teruskan ke manajemen. Terima kasih<U+0001F64F><U+0001F3FB>"
"348","MULAI HARI INI! Kamu bisa belanja di Ramayana bayar pakai @gopayindonesia dapat CASHBACK hingga Rp 30.000. 
*Minimal pembelanjaan Rp 75rb. 
Mantuls gak, tuh?
#KerenHakSegalaBangsa https://t.co/r1PJlZd4kD"
"349","@gopayindonesia halo saya mau kerjasama dengan gopay dong. Please hub saya di 087824247597
Thanks #partnership #gopay"
"350","Hahahahaha! Ini gue banget yang gajian sehari langsung drop. Wkwkwk. O, i wish!!! #GueIngin @gopayindonesia pay day tiap 15 hari dah wkwkwk. <U+0001F602><U+0001F602><U+0001F602> https://t.co/sRuqzzlhBR"
"351","hari minggu waktunya ajak nak kanak ke warung nasi karena momma tak pandai masak~
berasa ibu yg bijak karena bayarnya pakai @gopayindonesia <U+0001F496> https://t.co/h4LcAVlSMt"
"352","Top up 100k akun @GrabID di circle k, bayar pake @gopayindonesia cashback 20.000

@ovo_id mana suaranya *sodorin mic* <U+0001F602><U+0001F3A4>"
"353","@gopayindonesia Sore, saya ingin konfirmasi transaksi per tanggal 2 maret pembelian promo gantung, hingga saat ini saya blm dapat voucher 15rb"
"354","Isi pulsa dari jam 11.47, smpe skrg ga masuk2. Gmn nih? Udh kirim inbox ke page bantuan jg ga masuk2. Gopay jg udh kepotong nih @gopayindonesia https://t.co/6WjlGAOWti"
"355","Apa benar transaksi di @JcoIndonesia dgn @gopayindonesia harus ada minimum transaksi IDR 30 ribu. Terimakasih."
"356","@gopayindonesia @gojekpromo https://t.co/8TGRerSE5F"
"357","@gopayindonesia @gojekindonesia @gojekpromo https://t.co/OHcwI5rMfM"
"358","@linkaja upgrade akun linkaja katanya 3x24 jam, tp udh seminggu lebih blm jg terupgrade, payah masih kalah dg @ovo_id @danawallet &amp; @gopayindonesia"
"359","@gopayindonesia Total sdh 2x voucher saya tdk bs digunakan. Cashback tdk diterima 2 x 15rb"
"360","@gopayindonesia hallo Gopay. Saya barusan belanja di Alfamart dan menggunakan voucher cashback 15rb, tp knp tdk masuk cashbacknya? https://t.co/INZ2Jkoh1Z"
"361","@gopayindonesia halloooo.. kalian ini gimana sih? Program kalian niat apa nggak? 2x saya transaksi menggunakan voucher tdk bisa, kemudian saya ditelp pihak kalian dan diberikan petunjuk kembali dan ternyata yg kalian ucapkan itu tidak ada pilihan penggunaan voucher. Kecewa saya! https://t.co/VLLzszzwJH"
"362","@gopayindonesia @PakAjiMumpung MASIH ADA TAPI VOUCHER GA BISA DIPAKE BUAT APA???? https://t.co/XY4A8EBRGq"
"363","@gopayindonesia PROGRAMnya aja benerin dulu! Voucher"" yg didapet gak bisa dipake.."
"364","@gopayindonesia Alfamart voucher 100rb PROGRAM"
"365","@gopayindonesia @tahilalats #PromoGOJEKBeragam apaan??? Udah dpt voucher cashback malah gak bisa digunain!!"
"366","@gopayindonesia Dear Gojek yg terhormat dgn PROMO kalian yg useless semua.. Apa gunanya??? Dikomplain pun tidak dihiraukan.
Voucher cashback Alfamart tdk bisa dipakai, cashback 10% dr Alfamart pun tdk dapat!! https://t.co/oTakyxDust"
"367","@gopayindonesia lagi dan lagi.. Punya voucher, sdh digunakan tp tidak bisa dipakai. Percuma saja <U+0001F625> https://t.co/wP0SahAbFn"
"368","@gopayindonesia Apaan?? Jawabannya cm ""Akan ditindaklanjuti"".. Promo keburu abis Maliiiihh!!"
"369","@gopayindonesia Sdh di DM tp no respon!"
